,mev_trades,contract_address
967,95,34BC797F40DF0445C8429D485232874B15561728
4483,95,524CAB2EC69124574082676E6F654A18DF49A048
3087,94,47F3A38990CA12E39255E959F7D97FBE5906AFD4
2371,93,79FCDEF22FEED20EDDACBB2587640E45491B757F
3683,91,76B3AF5F0F9B89CA5A4F9FE6C58421DBE567062D
2618,90,31D45DE84FDE2FB36575085E05754A4932DD5170
3880,9,338BE3D8D0209815601E72F7A04AC7F37D61564B
3175,9,4AD2D817B60DB6EE79C1AE016429251A0D25423F
269,9,3E2803E5D68DFCFACFBC9BE836E24D24FCA674B8
1020,9,8B44B715004020773E8DA1CD730DE2F47C7D88B8
1019,9,5FDB2B0C56AFA73B8CA2228E6AB92BE90325961D
4135,9,F3E6DBBE461C6FA492CEA7CB1F5C5EA660EB1B47
2136,9,76E51BC8FA0BEEBCF3E45DE408FA43C9DC5FFB27
2127,9,6199A4A9A290B0B77FF2E113ABE9D1AD4AB5AC63
1623,9,671F3B17628B1498DB264E8AC77DA4E78167BA9E
255,9,11739D7BD793543A6E83BD7D8601FCBCDE04E798
1383,9,252C4B998FC3B3DD6E13F6868477F37A855F9E6E
3267,9,75AFA588CC4E97736BF51E3BB542252FBD6B879F
2566,9,0747118C9F44C7A23365B2476DCD05E03114C747
2085,9,CC88D23E7DDDCF3DDE3FCE532F65500AB762069D
939,9,3B3C2DACFDD7B620C8916A5F7AA6476BDFB1AA07
2578,9,DE01C9C477CB66DC3BBFC4B7D861934A5F4278ED
2586,9,00758FB0C83A68B6CE4FCF1D2665600F3F0E4570
4169,9,746DB7B1728AF413C4E2B98216C6171B2FC9D00E
4173,9,8C5029957BF42C61D19A29075DC4E00B626E5022
4176,9,F4EE95274741437636E748DDAC70818B4ED7D043
1536,9,F54CC94F1F2F5DE012B6AA51F1E7EBDC43EF5AFC
4421,9,2120D19431E0DD49411E5412629F8E41A72CFABD
2194,9,5DFEB75ABAE11B138A16583E03A2BE17740EADED
1419,9,A03E357A09E761E8D486A1419C74BF42E8D1B064
3289,9,B05FD8ABD64E6421FDE30D5DB879A3DAD54E251B
1393,9,8D4100897447D173289560BC85C5C432BE4F44E4
4452,9,D87CA9651CDADE60CC0B031C2731AEB5AA722FB3
2307,9,E15B045EBCE82692FFCBA6307A951BE1B1AB5215
140,9,1E4AFE0C027D4F14FDBA4254EFC1A3AC2F7D49B5
3279,9,E6408DD80EE4D7596151EAD35B37BDF84D2A3B0F
170,9,8F3B4FC0C552131E4AF4F729712DF516C46D0DFA
4446,9,A55D6016065FD576E64F3081CD64E1DD3A0488DA
1410,9,B8A51862964F77025ABB65E2C6A39EE8070C8ED4
1300,9,54F9C72D128B4BBC7FF7564CBE0F193ABA7BB146
1265,9,5B15E94477148F12A4914C2F267F10AF0E8E93AA
325,9,78FB31FFC7402FADDF4FD518357A7E93BFF21D72
1251,9,B9AECB63908C13B6167AD2EAB9BACD7E0DABA78A
4050,9,E7E07F9DFF6B48EBA32641C53816F25368297D22
1208,9,CF8896D28B905CEFD5FFBDDD5DBFA0EEFF8D938B
4469,9,F429210D0F619F71EAA34F37A6A9545068EF166B
1465,9,D9C036E9EEF725E5ACA4A22239A23FEB47C3F05D
1164,9,8CEFCB5A4D159914B9CF2701D8891F23480F66B2
4427,9,9761F45FEFEB521F48DDF40DAF6C3B3B3A498C5B
3927,9,537B2279D8F625A1B74CF3C1F0E2122FB047A6B0
