,amount_usd,nft_contract_address,organic_volume,unfiltered_volume,wash_volume,pct_vol
30951,12283318020.92768,0x4e1f41613c9084fdb9e34e11fae9412427480e56,52152575.07358778,0.0,12231165445.854103,12231165445.854103
6011,9932977291.286173,0x7bd29408f11d2bfc23c34f18275bbf23bb716bc7,496236367.09795153,0.0,9436740924.18822,9436740924.18822
1286,2713603622.6723566,0xce25e60a89f200b1fa40f6c313047ffe386992c3,31585105.970285106,0.0,2682018516.70207,2682018516.70207
13526,1536997369.1698945,0x81ae0be3a8044772d04f32398bac1e1b4b215aa8,4889772.710579946,0.0,1532107596.4593136,1532107596.4593136
30446,1360346224.5314841,0x1dfe7ca09e99d10835bf73044a23b73fc20623df,1407943.3471409397,0.0,1358938281.1843438,1358938281.1843438
57488,1008063971.8475798,0xff9c1b15b16263c61d017ee9f65c50e4ae0113d7,385505015.9429689,0.0,622558955.9046106,622558955.9046106
39552,382730910.8825515,0xfb3765e0e7ac73e736566af913fa58c3cfd686b7,3577596.623451387,0.0,379153314.2591001,379153314.2591001
36711,340151282.937876,0xa5d37c0364b9e6d96ee37e03964e7ad2b33a93f4,11014.639906010572,0.0,340140268.29796994,340140268.29796994
34037,281445238.43318516,0xf07468ead8cf26c752c676e43c814fee9c8cf402,4756817.939914254,0.0,276688420.4932711,276688420.4932711
16839,233183322.807682,0x595a8974c1473717c4b5d456350cd594d9bda687,1473108.3180695134,0.0,231710214.48961267,231710214.48961267
61452,320397051.6634647,0xc2c747e0f7004f9e8817db2ca4997657a7746928,90869657.96866484,0.0,229527393.69480002,229527393.69480002
20050,196460149.9868841,0xff36ca1396d2a9016869274f1017d6c2139f495e,29698.582469543086,0.0,196430451.4044146,196430451.4044146
5619,95928814.8816849,0xbc578ecca2115dac0c93c08674edc0c7d01fe09c,8407.391236871134,0.0,95920407.490448,95920407.490448
26221,95745033.08261006,0x910152fca5149a50967cc3f0816d269287681ef2,228944.58461,0.0,95516088.49800007,95516088.49800007
37103,2704649568.74511,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,2619774927.3389816,0.0,84874641.40613273,84874641.40613273
49541,1372765976.5605586,0x34d85c9cdeb23fa97cb08333b511ac86e1c4e258,1304302337.0219421,0.0,68463639.53861718,68463639.53861718
64826,67040776.51888171,0x7a376c1f8edf7ba7eb94a7438a8313a17d830ff8,3666.044322700001,0.0,67037110.474559024,67037110.474559024
34481,69920703.032641,0x68aea268f92b715e073d2f5170039faa4b94a47b,5371201.652641001,0.0,64549501.379999995,64549501.379999995
21519,1982641954.912247,0x60e4d786628fea6478f785a6d7e704777c86a7c6,1928134834.6255999,0.0,54507120.286645584,54507120.286645584
9441,221862463.85251653,0x495f947276749ce646f68ac8c248420045cb7b5e,167551372.21250528,0.0,54311091.64001134,54311091.64001134
49660,97463964.99358003,0x05a46f1e545526fb803ff974c790acea34d1f2d6,44751538.165145785,0.0,52712426.82843428,52712426.82843428
14710,138772517.44645476,0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85,89330669.3608353,0.0,49441848.08561963,49441848.08561963
65948,1067447228.6292769,0xed5af388653567af2f388e6224dc7c4b3241c544,1024037595.843025,0.0,43409632.78625256,43409632.78625256
29002,39298560.01491,0xecf5f7160b7ec5f45e550cf7866ebfc6f8a051b9,4520994.77318,0.0,34777565.24172998,34777565.24172998
8986,2511891823.456102,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,2480117778.860436,0.0,31774044.59566533,31774044.59566533
66737,47826995.91579092,0xc631164b6cb1340b5123c9162f8558c866de1926,20355746.885038197,0.0,27471249.030752737,27471249.030752737
22833,904695562.0324076,0x49cf6f5d44e70224e2e23fdcdd2c053f30ada28b,881810747.4090672,0.0,22884814.623339355,22884814.623339355
62659,699281080.8136363,0x23581767a106ae21c074b2276d25e5c3e136a68b,676470016.8137035,0.0,22811063.999933656,22811063.999933656
45781,22972242.925668675,0x413d4f3e116bc364e4799f2e7137029c41563cd5,581739.1844766608,0.0,22390503.741192006,22390503.741192006
30711,68395736.54612124,0x236672ed575e1e479b8e101aeeb920f32361f6f9,46074060.97995503,0.0,22321675.56616621,22321675.56616621
6298,639672137.3180076,0x8a90cab2b38dba80c64b7734e58ee1db38b8992e,619851012.5345463,0.0,19821124.783461045,19821124.783461045
10940,503358722.2124937,0xba30e5f9bb24caa003e9f2f0497ad287fdf95623,483599678.1865472,0.0,19759044.0259463,19759044.0259463
41935,21176514.376496807,0x656d34a8309363302e46de99853f4cef30b85a1d,2694011.307303012,0.0,18482503.069193795,18482503.069193795
21527,18856499.98641059,0xa0bae4c0410d79398703cbd9a30d010d414ab0da,1082561.1312627497,0.0,17773938.85514784,17773938.85514784
35797,16627522.027500002,0x0c34e7a1945273c11a697ccb15a6e366142b88c8,40118.00750000001,0.0,16587404.020000001,16587404.020000001
62387,17607511.85411726,0x0e3a2a1f2146d86a604adc220b4967a898d7fe07,1080684.9271383304,0.0,16526826.926978935,16526826.926978935
22421,25440414.01006238,0x9759226b2f8ddeff81583e244ef3bd13aaa7e4a1,10593477.959023168,0.0,14846936.051039208,14846936.051039208
29523,240953437.9566782,0x76be3b62873462d2142405439777e971754e8e77,228370601.6611654,0.0,12582836.295512825,12582836.295512825
43481,25267701.085999254,0x9401518f4ebba857baa879d9f76e1cc8b31ed197,13112275.914649108,0.0,12155425.171350142,12155425.171350142
37665,14832099.705068147,0xcfff4c8c0df0e2431977eba7df3d3de857f4b76e,4241421.754263252,0.0,10590677.9508049,10590677.9508049
11502,153311297.5421824,0x79fcdef22feed20eddacbb2587640e45491b757f,144342907.63431314,0.0,8968389.907869147,8968389.907869147
28988,9148960.774284076,0x9336888c4fc4adae3c7ced55be2b54884c052d59,298639.18920264934,0.0,8850321.585081419,8850321.585081419
53479,319443396.4968056,0x306b1ea3ecdf94ab739f1910bbda052ed4a9f949,310987072.3339773,0.0,8456324.16282835,8456324.16282835
50592,15377868.021913255,0xc4a0b1e7aa137ada8b2f911a501638088dfdd508,7209656.248263266,0.0,8168211.773650002,8168211.773650002
10006,8074613.977889996,0x8c9a44a98b9a50396f26ef1201c570c8c3953c96,0.0,0.0,8074613.977889996,8074613.977889996
